Session: B
Start: 14.09.2025 15:38:51
End: 14.09.2025 16:17:25
Duration: 38 minutes
Data Points: 210

Timestamp,Date,Time,Temperature,Humidity,Gas1,Gas2,Battery
1757857131290,2025-09-14,15:38:51,25.10414,69.25155,957.0,5.0,85.30051
1757857142676,2025-09-14,15:39:02,25.0988,69.17677,970.0,5.0,84.77865
1757857153565,2025-09-14,15:39:13,25.0988,69.02113,923.0,3.0,84.77865
1757857164950,2025-09-14,15:39:24,25.12016,68.88838,908.0,6.0,84.77865
1757857175840,2025-09-14,15:39:35,25.09613,68.86702,945.0,4.0,85.03961
1757857186728,2025-09-14,15:39:46,25.09079,68.7129,915.0,13.0,85.03961
1757857198121,2025-09-14,15:39:58,25.10681,68.59235,919.0,0.0,85.03961
1757857209004,2025-09-14,15:40:09,25.10681,68.54963,886.0,4.0,85.30051
1757857219895,2025-09-14,15:40:19,25.09613,68.4596,889.0,8.0,85.03961
1757857231280,2025-09-14,15:40:31,25.11482,68.39857,902.0,0.0,83.73486
1757857242171,2025-09-14,15:40:42,25.12551,68.33295,890.0,0.0,84.77865
1757857253556,2025-09-14,15:40:53,25.0988,68.25971,878.0,0.0,84.77865
1757857264448,2025-09-14,15:41:04,25.14687,68.24445,893.0,3.0,85.56148
1757857275834,2025-09-14,15:41:15,25.13085,68.16663,920.0,5.0,85.30051
1757857286720,2025-09-14,15:41:26,25.12818,68.159,888.0,0.0,85.03961
1757857297610,2025-09-14,15:41:37,25.13352,68.0705,877.0,1.0,84.77865
1757857308497,2025-09-14,15:41:48,25.1442,68.04761,916.0,3.0,85.30051
1757857319933,2025-09-14,15:41:59,25.16556,68.01251,891.0,3.0,85.30051
1757857330773,2025-09-14,15:42:10,25.16022,68.00641,910.0,2.0,85.03961
1757857342161,2025-09-14,15:42:22,25.16289,67.93622,895.0,3.0,85.82245
1757857353049,2025-09-14,15:42:33,25.17891,67.91943,881.0,2.0,85.30051
1757857364435,2025-09-14,15:42:44,25.20028,67.89197,886.0,1.0,85.03961
1757857375325,2025-09-14,15:42:55,25.18959,67.83704,934.0,7.0,84.77865
1757857386214,2025-09-14,15:43:06,25.17891,67.83398,932.0,0.0,85.03961
1757857397104,2025-09-14,15:43:17,25.17624,67.80042,925.0,6.0,85.30051
1757857408488,2025-09-14,15:43:28,25.21363,67.77448,918.0,7.0,85.30051
1757857419378,2025-09-14,15:43:39,25.20295,67.78821,918.0,14.0,85.03961
1757857430763,2025-09-14,15:43:50,25.21897,67.73632,925.0,0.0,85.03961
1757857441655,2025-09-14,15:44:01,25.22431,67.78668,944.0,10.0,85.03961
1757857452544,2025-09-14,15:44:12,25.23766,67.6936,953.0,8.0,85.03961
1757857463930,2025-09-14,15:44:23,25.24834,67.73174,966.0,8.0,85.30051
1757857474819,2025-09-14,15:44:34,25.24834,67.67986,953.0,4.0,85.03961
1757857485724,2025-09-14,15:44:45,25.2697,67.64477,958.0,2.0,85.30051
1757857497593,2025-09-14,15:44:57,25.25368,67.62646,940.0,7.0,85.30051
1757857507985,2025-09-14,15:45:07,25.27771,67.59747,960.0,4.0,85.30051
1757857519369,2025-09-14,15:45:19,25.27771,67.62341,992.0,0.0,84.25678
1757857530258,2025-09-14,15:45:30,25.25101,67.60204,972.0,3.0,84.77865
1757857541150,2025-09-14,15:45:41,25.29908,67.56084,1016.0,1.0,85.03961
1757857552535,2025-09-14,15:45:52,25.27771,67.54559,988.0,0.0,85.82245
1757857563427,2025-09-14,15:46:03,25.30175,67.57763,1011.0,0.0,85.30051
1757857574808,2025-09-14,15:46:14,25.30175,67.5349,990.0,10.0,85.30051
1757857585700,2025-09-14,15:46:25,25.32311,67.53338,1011.0,2.0,85.30051
1757857596593,2025-09-14,15:46:36,25.34447,67.47082,1029.0,4.0,85.56148
1757857607479,2025-09-14,15:46:47,25.32311,67.50744,1039.0,0.0,85.30051
1757857618865,2025-09-14,15:46:58,25.32044,67.44793,1023.0,2.0,85.03961
1757857629754,2025-09-14,15:47:09,25.3418,67.45556,1028.0,2.0,84.77865
1757857641143,2025-09-14,15:47:21,25.35782,67.46471,1024.0,0.0,85.82245
1757857652030,2025-09-14,15:47:32,25.37385,67.39758,1044.0,0.0,84.77865
1757857662921,2025-09-14,15:47:42,25.36851,67.4342,1029.0,9.0,85.30051
1757857674303,2025-09-14,15:47:54,25.38186,67.38537,1065.0,3.0,85.56148
1757857685198,2025-09-14,15:48:05,25.39788,67.37621,1085.0,0.0,85.03961
1757857696084,2025-09-14,15:48:16,25.3872,67.37316,1067.0,0.0,85.30051
1757857707469,2025-09-14,15:48:27,25.3872,67.34875,1071.0,1.0,85.56148
1757857718360,2025-09-14,15:48:38,25.39788,67.34264,1071.0,7.0,85.03961
1757857729745,2025-09-14,15:48:49,25.41657,67.29076,1074.0,0.0,85.30051
1757857740635,2025-09-14,15:49:00,25.41123,67.3106,1078.0,0.0,84.77865
1757857751525,2025-09-14,15:49:11,25.41123,67.3106,1096.0,6.0,85.30051
1757857762911,2025-09-14,15:49:22,25.42191,67.30602,1088.0,0.0,85.03961
1757857773800,2025-09-14,15:49:33,25.44862,67.24193,1089.0,5.0,85.03961
1757857784691,2025-09-14,15:49:44,25.44061,67.25414,1134.0,0.0,85.56148
1757857796075,2025-09-14,15:49:56,25.45129,67.25719,1123.0,2.0,85.03961
1757857806966,2025-09-14,15:50:06,25.45663,67.2282,1137.0,9.0,85.03961
1757857818351,2025-09-14,15:50:18,25.46731,67.20683,1119.0,0.0,85.03961
1757857829241,2025-09-14,15:50:29,25.47799,67.24345,1174.0,5.0,85.03961
1757857840131,2025-09-14,15:50:40,25.48066,67.1992,1159.0,0.0,85.03961
1757857851517,2025-09-14,15:50:51,25.50202,67.20683,1136.0,1.0,85.30051
1757857862414,2025-09-14,15:51:02,25.49668,67.21751,1194.0,2.0,85.03961
1757857873298,2025-09-14,15:51:13,25.47532,67.17784,1169.0,9.0,85.03961
1757857884682,2025-09-14,15:51:24,25.5127,67.24345,1172.0,0.0,83.73486
1757857895573,2025-09-14,15:51:35,25.50469,67.17937,1155.0,0.0,84.77865
1757857906958,2025-09-14,15:51:46,25.51537,67.13969,1209.0,0.0,84.51768
1757857917849,2025-09-14,15:51:57,25.54742,67.19157,1182.0,4.0,84.77865
1757857928738,2025-09-14,15:52:08,25.53139,67.16563,1208.0,0.0,85.03961
1757857940123,2025-09-14,15:52:20,25.53674,67.17937,1228.0,0.0,85.56148
1757857951014,2025-09-14,15:52:31,25.55543,67.17021,1208.0,4.0,85.03961
1757857961903,2025-09-14,15:52:41,25.56077,67.17632,1225.0,0.0,85.03961
